Gauss_dist
39.32, 1
38.95, 1
39.13, 1
39.68, 1
40.56, 1
43.34, 1
39.56, 1
40.36, 1
39.89, 1
41.0, 1
34.92, 1
35.5, 1
36.94, 1
37.9, 1
38.87, 2
39.61, 1
40.05, 1
41.23, 1
42.67, 1
43.65, 1
44.03, 1
46.76, 1
40.57, 2
40.33, 2
41.01, 1
39.16, 1
36.26, 1
38.36, 2
39.14, 1
39.04, 2
40.47, 1
40.09, 1
41.02, 1
37.25, 1
39.42, 1
39.21, 1
40.6, 2
42.58, 1
38.0, 1
41.03, 1
37.79, 1
39.93, 2
40.86, 1
38.76, 1
38.23, 1
42.47, 1
39.46, 1
39.78, 2
41.05, 1
37.34, 1
41.76, 1
40.88, 1
38.52, 1
39.38, 1
36.72, 1
41.14, 1
39.95, 1
41.5, 2
37.1, 1
41.52, 1
41.81, 1
36.93, 1
39.71, 1
37.36, 1
43.42, 1
40.83, 1
38.29, 1
41.07, 1
39.97, 1
39.39, 1
37.87, 1
38.83, 1
40.15, 1
38.05, 1
40.24, 2
41.58, 1
41.51, 1
39.48, 1
35.88, 1
41.37, 1
37.29, 1
36.8, 1
37.62, 1
37.38, 1
38.73, 1
39.43, 1
39.3, 1
36.71, 1
39.74, 1
42.02, 1
40.79, 1
37.64, 1
42.08, 1
40.92, 1
38.7, 1
41.77, 1
40.55, 1
41.6, 1
42.61, 1
42.85, 1
39.25, 1
37.4, 1
43.46, 1
40.68, 1
43.21, 1
38.58, 1
44.15, 1
41.11, 1
43.32, 1
40.44, 1
42.05, 1
43.23, 1
38.84, 1
44.0, 1
40.2, 1
38.45, 1
39.49, 1
39.22, 1
38.85, 2
41.63, 1
39.28, 1
37.43, 1
40.46, 1
43.49, 1
38.86, 1
40.01, 1
41.39, 1
39.79, 1
37.94, 1
38.91, 1
40.97, 1
38.12, 2
41.4, 1
42.33, 1
40.82, 2
42.83, 1
40.48, 1
43.84, 1
43.26, 1
41.91, 1
37.2, 1
40.53, 1
38.88, 1
39.81, 1
37.46, 1
40.74, 2
38.89, 1
39.82, 1
37.35, 1
42.27, 1
38.9, 1
41.18, 1
39.08, 1
39.33, 2
42.11, 1
39.96, 1
40.26, 1
38.16, 1
42.62, 1
39.87, 1
42.77, 1
39.59, 1
41.2, 1
39.85, 1
42.63, 1
38.64, 1
40.78, 1
43.06, 1
40.49, 2
38.18, 2
39.57, 1
40.22, 1
42.14, 1
43.57, 1
38.44, 1
40.13, 1
39.62, 2
40.8, 1
41.31, 1
42.36, 1
41.98, 1
36.84, 1

--------------------

USB1
4.88, 1
4.65, 1
5.12, 1
4.89, 1
5.26, 1
4.79, 1
4.76, 1
5.0, 1
5.22, 1
4.95, 3
5.19, 1
4.86, 2
5.13, 1
4.91, 1
4.83, 1
5.06, 1
4.8, 1
5.04, 1
5.05, 2
5.18, 1
5.35, 1
4.99, 2
5.1, 1
4.96, 1
5.07, 1
5.2, 2
5.15, 1
5.17, 2
4.73, 1
4.9, 1
5.11, 1
5.03, 1
5.08, 1
5.3, 2
5.27, 1
4.85, 1
4.72, 1
4.68, 1
4.93, 1
4.77, 1
4.98, 2

--------------------

USB2
5.4, 2
5.62, 2
4.84, 1
5.64, 2
6.0, 1
5.28, 1
5.3, 1
5.53, 1
5.25, 1
5.47, 2
4.95, 1
5.58, 1
5.59, 2
4.61, 1
5.1, 1
4.83, 1
5.6, 1
5.32, 2
5.54, 2
5.18, 2
5.72, 1
4.74, 1
5.23, 1
5.82, 1
5.45, 1
5.15, 1
5.42, 1
4.73, 1
5.36, 1
5.08, 2
5.03, 1
5.33, 2
5.55, 2
5.52, 1
4.5, 1
5.24, 1
5.46, 1
5.71, 1
4.78, 1

--------------------

